"postcode sector","All usual residents aged 3 and over","English (English or Welsh if in Wales)","Welsh/Cymraeg (in England only)","Other UK language: Total","Other UK language: Gaelic (Irish)","Other UK language: Gaelic (Scottish)","Other UK language: Manx Gaelic","Other UK language: Gaelic (Not otherwise specified)","Other UK language: Cornish","Other UK language: Scots","Other UK language: Gypsy/Traveller languages","French","Portuguese","Spanish","Other European Language (EU): Total","Other European Language (EU): Italian","Other European Language (EU): German","Other European Language (EU): Polish","Other European Language (EU): Slovak","Other European Language (EU): Czech","Other European Language (EU): Romanian","Other European Language (EU): Lithuanian","Other European Language (EU): Latvian","Other European Language (EU): Hungarian","Other European Language (EU): Bulgarian","Other European Language (EU): Greek","Other European Language (EU): Dutch","Other European Language (EU): Swedish","Other European Language (EU): Danish","Other European Language (EU): Finnish","Other European Language (EU): Estonian","Other European Language (EU): Slovenian","Other European Language (EU): Maltese","Other European Language (EU): Any other European Language (EU)","Other European Language (non EU): Total","Other European Language (non EU): Albanian","Other European Language (non EU): Serbian/Croatian/Bosnian","Other European Language (non EU): Ukrainian","Other European Language (non EU): Any other Eastern European Language (non EU)","Other European Language (non EU): Northern European Language (non EU)","Other European Language (non-national): Total","Other European Language (non-national): Romani language (any)","Other European Language (non-national): Yiddish","Russian","Turkish","Arabic","West/Central Asian Language: Total","West/Central Asian Language: Hebrew","West/Central Asian Language: Kurdish","West/Central Asian Language: Persian/Farsi","West/Central Asian Language: Pashto","West/Central Asian Language: West/Central Asian Language (all other)","South Asian Language: Total","South Asian Language: Urdu","South Asian Language: Hindi","South Asian Language: Panjabi","South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)","South Asian Language: Bengali (with Sylheti and Chatgaya)","South Asian Language: Gujarati","South Asian Language: Marathi","South Asian Language: Telugu","South Asian Language: Tamil","South Asian Language: Malayalam","South Asian Language: Sinhala","South Asian Language: Nepalese","South Asian Language: South Asian Language (all other)","East Asian Language: Total","East Asian Language: Mandarin Chinese","East Asian Language: Cantonese Chinese","East Asian Language: All other Chinese","East Asian Language: Japanese","East Asian Language: Korean","East Asian Language: Vietnamese","East Asian Language: Thai","East Asian Language: Malay","East Asian Language: Tagalog/Filipino","East Asian Language: East Asian Language (all other)","Oceanic/Australian language (any)","North/South American language (any)","Caribbean Creole: Total","Caribbean Creole: Caribbean Creole (English-based)","Caribbean Creole: Caribbean Creole (all other)","African Language: Total","African Language: Amharic","African Language: Tigrinya","African Language: Somali","African Language: Krio","African Language: Akan","African Language: Yoruba","African Language: Igbo","African Language: Swahili/Kiswahili","African Language: Luganda","African Language: Lingala","African Language: Shona","African Language: Afrikaans","African Language: Any other Nigerian language","African Language: West African language (all other)","African Language: African language (all other)","Other Languages: Total","Other Languages: All other languages","Sign Language: Total","Sign Language: British sign language","Sign Language: Sign Language (all other)","Sign Language: Any Sign Communication System"

"PL9  7",5200,5140,2,1,0,0,0,0,0,0,1,3,5,3,14,2,1,3,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,9,1,0,0,0,3,0,0,0,0,5,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,1,0
"PL9  8",7798,7708,0,0,0,0,0,0,0,0,0,8,0,3,53,1,17,14,5,0,2,0,0,4,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,6,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"PL9  9",11444,11341,1,1,0,0,0,0,0,0,1,6,7,1,43,3,10,14,2,0,4,0,2,2,1,0,0,2,0,0,0,0,2,1,3,0,1,0,0,2,0,0,0,1,1,0,10,0,5,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,6,0,3,1,1,0,0,1,0,0,0,8,0,0,0,0,9,0,0,0,0,1,0,2,1,1,0,0,1,1,0,2,0,0,2,1,0,1
"PO1  1",3942,3352,0,1,0,0,0,0,0,1,0,18,16,4,141,0,2,69,6,8,3,5,11,12,3,10,0,2,1,0,0,0,8,1,7,5,2,0,0,0,0,0,0,13,80,22,58,1,43,14,0,0,98,5,0,3,0,77,0,0,0,2,3,1,2,5,107,10,15,70,1,1,1,2,3,1,3,0,0,0,0,0,22,1,1,1,1,2,0,1,1,0,1,6,0,2,1,4,0,0,3,3,0,0
"PO1  2",4093,3782,0,0,0,0,0,0,0,0,0,22,5,6,80,1,4,15,2,4,5,7,5,1,13,16,2,0,1,1,2,0,1,0,8,1,0,0,0,7,0,0,0,6,3,51,7,1,0,3,1,2,27,1,0,0,0,14,5,0,0,5,0,0,1,1,89,13,5,50,1,2,3,0,13,1,1,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,1,0,0
"PO1  3",5632,4546,0,0,0,0,0,0,0,0,0,38,5,7,277,12,5,116,7,1,11,15,3,5,9,77,5,3,1,2,3,0,2,0,9,7,1,0,1,0,0,0,0,23,18,383,58,0,40,15,0,3,34,1,4,0,0,17,0,1,3,4,0,4,0,0,193,14,17,132,2,4,2,5,16,1,0,1,0,0,0,0,36,0,1,0,0,1,2,0,10,0,6,7,0,2,0,7,3,3,1,1,0,0
"PO1  4",4589,3979,0,0,0,0,0,0,0,0,0,13,6,12,115,5,3,67,2,3,7,10,2,4,1,6,1,0,0,0,1,0,3,0,6,6,0,0,0,0,0,0,0,10,8,36,85,1,57,22,1,4,147,12,1,1,0,116,5,0,0,0,9,0,1,2,125,5,8,55,1,0,9,8,8,4,27,0,0,0,0,0,44,4,10,1,0,1,2,2,2,0,2,9,0,2,2,7,2,2,1,1,0,0
"PO1  5",9324,8536,0,1,0,0,0,0,0,1,0,23,10,12,317,4,8,173,10,2,27,19,2,21,19,18,3,8,0,0,1,0,2,0,12,10,1,0,0,1,0,0,0,12,6,26,38,0,24,11,3,0,127,0,1,5,0,93,6,0,6,6,9,1,0,0,172,14,11,82,1,2,7,19,9,23,4,0,0,0,0,0,30,1,1,1,0,0,3,0,8,0,0,8,0,0,5,3,2,2,0,0,0,0
"PO10 7",9256,9129,3,0,0,0,0,0,0,0,0,16,0,5,44,3,14,13,2,2,4,0,0,1,0,1,3,0,0,1,0,0,0,0,4,0,2,1,0,1,1,1,0,4,4,3,0,0,0,0,0,0,18,0,2,1,0,6,2,0,0,1,2,0,4,0,17,1,2,3,1,0,0,5,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,1,0,0
"PO10 8",8551,8388,1,1,0,0,0,0,0,1,0,14,4,3,57,6,8,13,4,1,7,7,3,2,1,2,2,0,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,7,1,1,4,0,2,2,0,0,15,3,0,0,0,3,0,0,0,1,0,0,7,1,13,1,2,2,1,0,0,0,0,7,0,22,0,0,0,0,12,0,0,0,0,0,0,0,1,5,0,1,5,0,0,0,4,4,0,0,0,0
"PO11 0",7694,7564,0,1,0,0,0,0,0,1,0,13,2,9,67,3,9,15,5,1,20,4,0,3,0,2,4,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,5,0,1,0,1,0,0,0,5,2,0,0,0,0,2,0,0,1,0,0,0,0,15,0,3,8,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2
"PO11 9",9303,9164,1,0,0,0,0,0,0,0,0,9,6,6,66,2,4,25,4,0,4,8,0,8,1,2,4,2,1,0,1,0,0,0,3,0,0,2,0,1,0,0,0,7,3,2,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,3,0,0,1,0,18,1,2,8,0,0,0,3,1,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,2,2,3,1,0,2
"PO12 1",8244,8012,2,2,0,0,0,0,0,0,2,12,3,10,107,1,8,72,3,1,5,3,2,3,2,0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,4,6,0,6,0,0,0,36,1,2,0,0,25,0,0,0,3,5,0,0,0,24,4,2,8,0,0,0,5,0,4,1,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,7,3,0,0,2,1,1,0,0,0,0
"PO12 2",9472,9290,2,0,0,0,0,0,0,0,0,5,4,4,56,2,8,11,4,2,1,2,1,0,0,0,4,18,2,1,0,0,0,0,7,0,0,4,0,3,0,0,0,9,4,4,13,0,7,3,3,0,23,3,1,5,0,2,3,0,0,0,6,3,0,0,30,2,7,4,1,1,3,4,1,7,0,0,0,0,0,0,17,1,0,1,0,5,5,0,1,0,0,0,0,2,0,2,0,0,4,2,0,2
"PO12 3",11637,11430,2,1,0,0,0,0,0,1,0,5,2,7,86,3,5,55,0,1,1,0,0,3,5,6,3,1,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,8,4,1,10,1,8,0,0,1,42,0,0,1,0,2,12,0,2,3,19,2,1,0,28,0,4,8,0,0,4,3,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,2,0,1
"PO12 4",16701,16442,2,0,0,0,0,0,0,0,0,10,3,5,143,3,9,89,4,1,7,4,5,2,12,2,1,2,2,0,0,0,0,0,4,2,0,0,0,2,0,0,0,2,5,0,7,0,7,0,0,0,36,0,0,9,0,7,9,0,2,1,8,0,0,0,25,3,1,5,0,0,9,4,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,5,0,1,2,0,0,5,3,0,2
"PO13 0",15632,15400,0,0,0,0,0,0,0,0,0,7,5,8,79,5,11,37,6,2,0,0,7,0,4,1,0,0,0,0,0,0,6,0,2,0,1,1,0,0,0,0,0,20,10,2,3,0,0,3,0,0,43,0,3,2,0,5,6,0,0,3,23,1,0,0,39,1,8,14,1,0,0,8,1,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,1,8,7,0,1
"PO13 8",6958,6840,0,0,0,0,0,0,0,0,0,1,1,2,54,0,3,35,4,2,0,0,0,1,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,3,0,0,2,0,1,10,0,0,1,0,4,2,0,0,0,3,0,0,0,27,4,7,9,0,0,0,2,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0
"PO13 9",10712,10451,1,0,0,0,0,0,0,0,0,12,5,14,98,1,13,53,5,3,5,2,0,3,2,2,5,3,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,7,14,11,5,0,3,0,2,0,24,0,0,0,0,2,0,0,0,5,9,0,8,0,39,5,4,8,0,0,0,7,0,14,1,10,0,0,0,0,14,0,0,0,0,7,0,1,0,0,0,2,0,0,0,4,3,3,1,1,0,0
"PO14 1",7445,7313,0,1,1,0,0,0,0,0,0,7,4,1,46,0,1,21,4,1,4,1,3,5,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,1,0,0,42,1,2,2,0,14,0,0,0,2,16,1,0,4,17,2,4,2,0,3,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0
"PO14 2",7620,7548,0,0,0,0,0,0,0,0,0,4,1,4,25,0,11,5,0,0,0,2,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,0,0,3,0,0,7,0,0,1,0,0,0,0,0,3,0,0,0,3,13,1,1,4,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1
"PO14 3",8357,8264,1,0,0,0,0,0,0,0,0,5,6,6,24,2,1,15,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,11,0,0,3,0,1,0,0,0,3,4,0,0,0,22,0,3,11,1,0,1,2,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,4,4,0,0
"PO14 4",7767,7647,1,0,0,0,0,0,0,0,0,9,1,11,48,3,6,11,7,2,4,1,0,0,4,1,3,1,1,3,1,0,0,0,2,1,0,0,0,1,0,0,0,0,3,3,2,0,0,2,0,0,13,1,0,1,0,2,1,1,0,2,5,0,0,0,21,1,7,5,3,0,0,4,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0
"PO15 5",7087,6985,1,0,0,0,0,0,0,0,0,5,3,3,34,1,2,13,1,1,2,1,2,0,2,0,4,3,0,0,0,0,2,0,6,0,0,0,0,6,0,0,0,3,0,5,2,0,0,1,1,0,8,0,0,1,0,5,2,0,0,0,0,0,0,0,25,0,8,7,2,0,1,5,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,3,0,0,3
"PO15 6",8088,7956,0,2,0,0,0,0,0,1,1,5,4,1,62,0,6,28,0,3,5,8,0,7,1,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,2,4,1,0,0,0,0,1,20,0,0,0,0,2,2,3,0,1,12,0,0,0,20,2,2,5,1,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,3,0,1
"PO15 7",6867,6674,1,0,0,0,0,0,0,0,0,13,1,13,67,0,7,24,10,2,3,4,0,6,0,2,4,2,2,1,0,0,0,0,2,0,0,1,0,1,1,1,0,7,3,3,8,0,0,5,0,3,44,5,3,4,0,10,8,1,0,1,3,0,4,5,15,0,0,9,0,1,0,3,1,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"PO16 0",5439,5237,2,0,0,0,0,0,0,0,0,3,0,4,92,5,3,50,6,0,3,0,6,9,0,3,1,1,1,2,1,0,1,0,2,2,0,0,0,0,0,0,0,2,0,8,9,0,0,9,0,0,34,5,13,0,0,5,1,0,0,0,10,0,0,0,30,2,4,16,1,0,0,4,0,3,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,1,0,1,8,0,0,2,1,0,1
"PO16 7",7521,7373,2,3,0,0,0,0,0,3,0,5,10,4,47,4,1,22,7,0,1,0,0,6,1,1,2,1,0,1,0,0,0,0,5,0,0,0,0,5,0,0,0,1,0,3,2,0,0,2,0,0,20,9,1,0,0,4,0,0,0,2,3,1,0,0,30,2,5,10,2,0,4,3,2,2,0,1,0,0,0,0,10,0,0,0,0,2,1,0,0,0,0,0,2,0,0,5,0,0,5,3,0,2
"PO16 8",10483,10341,0,1,0,0,0,1,0,0,0,10,1,4,23,2,4,11,1,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,3,1,1,0,0,1,0,0,0,3,1,5,3,0,0,2,1,0,38,5,0,0,0,6,4,0,0,4,16,1,0,2,38,2,5,20,0,0,3,3,0,2,3,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,5,3,0,2
"PO16 9",8343,8273,0,1,0,0,0,1,0,0,0,5,0,1,26,3,1,6,0,2,2,2,1,2,4,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,1,3,0,0,1,0,2,9,0,1,2,0,0,0,0,0,2,0,0,0,4,11,0,1,3,2,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2
"PO17 5",4474,4385,0,0,0,0,0,0,0,0,0,12,0,8,26,2,0,12,1,0,2,0,0,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,2,0,1,12,2,0,5,0,3,0,0,0,0,2,0,0,0,13,0,4,1,3,0,0,4,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,5,2,1,2
"PO17 6",1815,1787,0,0,0,0,0,0,0,0,0,1,0,1,14,1,0,4,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PO18 0",4467,4375,0,0,0,0,0,0,0,0,0,3,11,2,45,1,10,23,0,0,1,1,0,1,0,0,8,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,8,3,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,3,1,2,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0
"PO18 8",6522,6400,1,1,0,0,0,0,0,1,0,3,9,4,51,10,4,10,1,0,2,13,2,3,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,1,2,0,0,0,0,0,0,19,0,1,0,0,0,1,0,0,0,14,0,3,0,16,0,2,9,0,0,0,4,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0
"PO18 9",1693,1661,0,0,0,0,0,0,0,0,0,3,4,3,16,1,2,6,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"PO19 1",1611,1451,0,0,0,0,0,0,0,0,0,2,4,5,45,1,5,16,1,3,0,1,2,1,0,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,14,2,2,0,0,3,0,0,1,2,0,4,0,0,74,3,17,27,1,0,19,0,0,7,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0
"PO19 3",6032,5869,0,0,0,0,0,0,0,0,0,12,6,13,77,3,11,27,1,4,0,6,3,7,5,5,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,1,2,0,0,0,2,0,9,0,2,0,0,1,1,1,0,0,3,0,1,0,28,0,3,14,0,1,3,2,1,4,0,1,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,3,3,0,0,0,0
"PO19 5",2341,2268,2,0,0,0,0,0,0,0,0,3,0,2,33,3,14,5,1,0,1,2,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,4,0,0,10,2,2,0,0,0,0,0,0,0,1,3,2,0,10,0,3,2,1,0,0,2,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"PO19 6",6652,6237,2,0,0,0,0,0,0,0,0,19,24,14,171,6,41,80,1,5,4,6,4,4,2,7,8,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,7,4,11,5,0,0,5,0,0,70,3,1,0,0,22,7,0,1,6,17,6,2,5,59,3,2,14,3,1,0,0,0,34,2,10,0,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,4,0,4,5,2,2,1,0,1,0
"PO19 7",7310,6894,1,0,0,0,0,0,0,0,0,12,27,23,177,8,18,94,5,4,11,11,5,5,5,4,1,1,0,2,0,0,0,3,2,0,0,0,0,2,0,0,0,5,4,1,17,1,0,13,3,0,54,3,2,0,0,15,4,0,0,5,19,0,2,4,88,1,5,30,4,3,5,7,0,31,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0
"PO19 8",5327,5128,0,0,0,0,0,0,0,0,0,7,5,12,89,1,7,59,4,0,0,7,0,2,4,1,1,2,0,1,0,0,0,0,4,0,0,0,0,4,0,0,0,5,5,1,4,0,0,4,0,0,28,0,1,0,0,7,6,0,0,0,9,3,0,2,31,1,2,10,2,0,1,1,0,12,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,3,3,0,0,0,0
"PO2  0",12540,11896,2,2,0,0,0,0,0,2,0,13,8,11,192,1,13,122,8,2,12,10,3,11,5,3,2,0,0,0,0,0,0,0,8,6,0,0,2,0,0,0,0,7,5,21,12,0,7,5,0,0,171,9,2,10,0,129,7,0,0,1,10,0,1,2,157,1,25,37,1,0,7,5,2,75,4,4,0,0,0,0,19,2,0,0,0,2,0,0,1,0,0,6,2,0,2,4,9,9,3,2,1,0
"PO2  7",12166,11161,0,1,0,0,0,0,0,1,0,32,11,16,355,2,14,195,5,1,44,37,22,12,12,3,3,1,1,0,2,0,1,0,8,7,0,0,0,1,0,0,0,20,11,21,58,0,40,14,4,0,220,15,8,2,0,145,8,0,1,5,25,1,9,1,174,16,21,65,1,0,2,13,0,50,6,0,0,0,0,0,73,3,12,0,0,1,9,2,4,0,0,18,2,0,1,21,0,0,5,5,0,0
"PO2  8",7644,7293,0,0,0,0,0,0,0,0,0,7,1,8,166,11,4,112,4,2,4,6,7,5,3,0,1,4,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,9,3,24,16,0,5,10,1,0,41,0,1,0,0,25,5,0,0,4,4,1,0,1,45,1,1,10,2,0,3,8,7,13,0,0,0,0,0,0,25,0,1,0,0,0,3,0,3,0,0,6,0,0,0,12,1,1,2,2,0,0
"PO2  9",7642,7230,1,0,0,0,0,0,0,0,0,16,5,13,124,5,5,65,1,3,12,11,3,10,0,2,0,1,0,0,4,0,2,0,2,0,1,0,0,1,0,0,0,4,9,18,27,0,7,19,1,0,100,4,3,3,0,82,2,0,0,0,3,2,1,0,66,3,19,19,1,0,3,3,0,17,1,1,0,0,0,0,15,0,0,0,0,1,3,0,1,1,0,0,1,1,3,4,7,7,4,2,0,2
"PO20 0",8350,8146,3,0,0,0,0,0,0,0,0,8,15,3,129,1,9,93,6,1,2,3,5,3,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,21,0,0,1,0,15,2,0,0,0,2,0,0,1,18,0,2,3,0,0,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PO20 1",2379,2324,1,0,0,0,0,0,0,0,0,3,3,0,31,0,2,10,0,1,1,1,1,1,5,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,2,0,1,0,5,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"PO20 2",3537,3410,0,0,0,0,0,0,0,0,0,9,6,4,77,2,20,42,1,1,0,0,1,3,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,4,0,0,0,0,3,0,0,16,3,3,2,0,0,2,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
"PO20 3",4196,4125,2,0,0,0,0,0,0,0,0,4,0,3,38,0,7,19,0,0,0,3,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,2,2,1,0,0,1,0,0,1,12,1,0,2,2,0,0,1,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0
"PO20 7",3490,3428,0,0,0,0,0,0,0,0,0,6,2,9,33,1,10,8,2,1,1,2,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"PO20 8",7184,7070,0,0,0,0,0,0,0,0,0,10,2,1,60,4,6,31,1,1,4,2,5,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,6,0,2,0,0,2,0,0,4,1,0,0,0,1,1,0,0,1,0,0,0,0,18,0,3,9,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,2
"PO20 9",2127,2032,0,0,0,0,0,0,0,0,0,0,14,1,60,0,0,26,3,0,1,20,6,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"PO21 1",5946,4638,1,1,0,0,0,0,0,1,0,6,36,5,1030,2,15,684,19,6,29,92,78,73,25,1,2,0,1,0,2,0,0,1,6,1,3,2,0,0,0,0,0,75,11,3,5,0,2,2,0,1,49,2,4,2,0,17,5,0,0,10,6,1,0,2,67,4,0,24,3,1,1,2,0,31,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,4,4,1,1,0,0
"PO21 2",9581,8285,1,0,0,0,0,0,0,0,0,16,52,19,960,3,19,700,13,17,21,75,49,25,27,0,8,0,0,0,0,0,0,3,9,0,2,6,0,1,0,0,0,67,13,9,5,0,4,1,0,0,65,4,2,0,1,27,9,0,0,8,9,1,1,3,63,2,12,22,5,0,0,4,1,13,4,1,0,0,0,0,12,0,0,0,0,0,2,0,1,0,0,3,0,0,1,5,3,3,1,0,0,1
"PO21 3",7798,7598,0,2,0,0,0,0,0,0,2,2,12,2,117,2,12,76,2,1,5,10,3,0,0,1,2,0,1,2,0,0,0,0,5,0,0,5,0,0,0,0,0,16,7,0,0,0,0,0,0,0,10,1,0,0,0,2,2,1,0,4,0,0,0,0,26,3,6,10,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"PO21 4",7104,6990,2,0,0,0,0,0,0,0,0,6,8,4,71,2,10,39,0,0,3,8,0,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,6,0,0,0,0,2,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,2,0,0
"PO21 5",8595,8171,0,0,0,0,0,0,0,0,0,2,17,1,274,1,3,208,6,2,10,19,15,1,1,4,0,1,0,0,0,1,2,0,7,0,5,0,1,1,0,0,0,20,8,1,3,0,3,0,0,0,51,0,0,0,0,44,2,0,0,0,3,0,0,2,27,1,0,6,1,0,2,3,0,12,2,0,0,0,0,0,7,0,0,0,0,1,0,1,1,0,0,1,3,0,0,0,0,0,6,3,2,1
