"postcode sector","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"S25  2",8940,6781,6673,14,94,91,28,5,8,5,4,0,6,63,3,47,0,13,3,2,1,11,1,4,2,1,1,6,1,0,1,3,1,29,1,1,0,0,9,6,3,0,0,9,0,2,5,2,0,0,10,2,1,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,2112
"S25  3",2029,1600,1568,9,23,23,6,0,3,0,2,1,0,17,0,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
"S25  4",5279,4185,4154,4,27,27,5,0,0,1,0,0,4,22,2,16,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,2,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1085
"S25  5",1901,1553,1547,1,5,5,3,1,0,1,0,0,1,2,1,1,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343
"S26  1",1232,1066,1063,0,3,3,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,1,0,1,0,0,160
"S26  2",4646,3637,3605,5,27,25,6,0,4,1,0,0,1,19,0,8,0,11,2,1,1,3,1,1,0,1,0,1,0,0,0,0,1,8,0,0,0,0,1,1,0,0,0,4,0,1,1,2,0,0,3,0,1,0,2,0,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,994
"S26  3",2120,1637,1626,4,7,7,4,1,1,0,0,1,1,3,0,0,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,1,0,0,0,1,0,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,472
"S26  4",5077,3824,3730,12,82,78,10,1,1,1,1,2,4,68,5,48,0,15,4,3,1,24,0,8,0,6,2,16,3,0,5,7,1,12,0,0,0,0,2,2,0,0,0,9,2,0,2,5,0,0,1,1,0,0,0,0,5,5,1,4,0,0,0,0,0,2,2,2,0,0,0,1210
"S26  5",4017,3154,2958,4,192,185,20,3,5,1,1,1,9,165,17,87,0,61,7,2,5,25,2,6,0,5,1,17,0,0,8,7,2,21,1,0,0,1,4,2,0,2,0,10,0,0,8,2,0,0,6,2,2,1,1,0,6,5,4,1,0,1,0,0,0,2,2,1,1,0,0,809
"S26  6",2931,2246,2220,4,22,17,10,2,1,0,2,0,5,7,0,6,0,1,5,1,4,4,0,1,1,0,0,3,0,0,0,1,2,10,0,0,0,0,2,2,0,0,0,6,0,0,2,2,2,0,2,0,1,0,1,0,9,8,2,6,1,0,0,0,0,0,0,0,0,0,0,662
"S26  7",1574,1227,1219,1,7,7,3,0,0,0,1,0,2,4,2,0,0,2,0,0,0,2,0,1,0,0,1,1,0,0,1,0,0,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,338
"S3   7",17347,12638,11740,64,834,753,422,65,54,32,14,37,220,331,38,98,33,162,81,33,48,527,212,190,16,163,11,125,53,3,6,19,44,2548,366,86,30,250,1444,1277,28,47,92,380,5,17,213,94,43,8,348,219,5,21,103,10,172,103,35,68,37,14,18,15,3,19,19,14,5,0,3,1440
"S3   8",7197,5661,5451,32,178,167,48,10,7,6,7,0,18,119,14,48,5,52,11,4,7,96,11,66,3,61,2,19,4,0,2,7,6,757,125,13,29,83,509,488,9,5,7,101,2,5,69,23,1,1,21,7,1,0,13,1,34,18,5,13,6,5,5,4,1,7,7,7,0,0,0,642
"S3   9",5134,3771,3535,12,224,206,140,5,11,4,20,3,97,66,4,25,6,31,18,4,14,169,76,35,13,8,14,58,0,5,0,30,23,216,83,8,19,56,16,14,1,1,0,111,1,1,26,81,2,0,6,4,1,0,1,0,34,9,2,7,1,7,17,13,4,8,8,8,0,0,0,936
"S32  1",1857,1567,1558,2,7,7,3,2,0,0,0,0,1,4,0,1,1,2,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,285
"S32  2",708,618,607,4,7,6,3,0,1,1,0,0,1,3,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,88
"S32  3",1150,1031,1027,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,3,3,0,3,0,0,0,0,0,1,1,1,0,0,0,109
"S32  4",432,360,356,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"S32  5",767,618,610,1,7,7,3,1,1,0,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,148
"S33  0",1208,999,986,5,8,8,6,0,0,0,0,0,6,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"S33  6",1660,1378,1349,10,19,19,10,4,0,2,0,2,2,9,0,5,0,4,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,3,0,0,0,3,0,3,0,0,0,2,0,1,1,0,1,1,1,0,0,0,268
"S33  7",326,270,267,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,55
"S33  8",743,626,610,3,13,11,5,0,1,1,0,0,3,6,0,2,0,4,2,0,2,3,1,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,108
"S33  9",1061,838,831,1,6,6,3,0,1,0,0,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,216
"S35  0",4807,3835,3802,9,24,19,7,3,2,1,0,0,1,12,2,5,1,4,5,0,5,4,0,2,0,2,0,2,0,0,0,2,0,15,2,0,1,1,5,5,0,0,0,5,0,0,4,1,0,0,3,3,0,0,0,0,5,3,0,3,0,1,1,1,0,3,3,3,0,0,0,945
"S35  1",5369,4321,4285,15,21,19,8,1,4,0,0,1,2,11,0,3,0,8,2,1,1,5,0,5,0,2,3,0,0,0,0,0,0,19,3,1,1,1,2,2,0,0,0,11,0,2,6,1,2,0,3,1,1,0,1,0,10,7,1,6,0,1,2,1,1,1,1,1,0,0,0,1013
"S35  2",4990,4116,4076,10,30,28,10,0,1,5,0,0,4,18,2,9,0,7,2,1,1,11,0,4,1,1,2,7,0,0,0,6,1,19,2,0,0,2,0,0,0,0,0,8,0,0,4,4,0,0,9,2,4,0,3,0,4,1,0,1,1,1,1,1,0,0,0,0,0,0,0,840
"S35  3",4793,3941,3811,19,111,108,23,2,9,1,2,5,4,85,8,47,0,30,3,1,2,9,0,2,0,1,1,7,0,0,3,1,3,35,1,1,0,0,3,3,0,0,0,18,0,0,14,4,0,0,13,5,7,0,1,0,3,3,0,3,0,0,0,0,0,3,3,2,1,0,0,802
"S35  4",4414,3229,3189,9,31,31,4,1,1,0,0,0,2,27,1,10,0,16,0,0,0,5,2,2,1,1,0,1,0,0,0,1,0,12,1,0,0,1,2,2,0,0,0,7,0,0,5,1,0,1,2,2,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1165
"S35  7",2300,1817,1799,3,15,15,7,1,3,0,0,0,3,8,0,4,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,5,5,0,5,0,0,0,0,0,2,2,1,1,0,0,472
"S35  8",3509,2769,2754,6,9,9,4,0,0,1,0,0,3,5,0,2,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,14,0,0,0,0,1,1,0,0,0,9,0,0,6,3,0,0,4,1,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,724
"S35  9",5572,4535,4432,11,92,88,12,3,1,2,1,0,5,76,3,50,0,23,4,0,4,23,0,6,1,4,1,17,4,0,5,5,3,31,5,0,1,4,3,3,0,0,0,17,0,2,10,4,1,0,6,0,1,0,5,0,6,5,1,4,0,0,1,1,0,0,0,0,0,0,0,977
"S36  1",6218,4495,4456,13,26,24,10,3,0,1,3,1,2,14,0,12,0,2,2,0,2,25,1,1,0,1,0,23,0,0,4,14,5,18,0,0,0,0,5,4,0,1,0,6,0,0,6,0,0,0,7,4,0,0,3,0,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,1676
"S36  2",4186,3123,3090,11,22,22,9,2,2,0,0,1,4,13,5,5,2,1,0,0,0,12,1,0,0,0,0,11,1,0,4,3,3,12,0,0,0,0,1,0,0,1,0,6,0,1,1,3,0,1,5,0,3,0,2,0,4,1,1,0,0,0,3,3,0,1,1,1,0,0,0,1034
"S36  3",259,193,192,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"S36  4",853,681,675,1,5,5,2,0,0,1,0,0,1,3,0,0,0,3,0,0,0,14,13,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,152
"S36  6",5451,4231,4183,8,40,36,12,0,2,2,0,5,3,24,0,13,6,5,4,1,3,2,0,0,0,0,0,2,0,0,2,0,0,10,0,0,0,0,1,1,0,0,0,5,0,3,1,1,0,0,4,1,1,0,2,0,7,5,1,4,0,0,2,0,2,3,3,2,1,0,0,1198
"S36  7",1549,1314,1303,2,9,9,2,0,1,0,0,0,1,7,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,229
"S36  8",1172,969,957,4,8,8,4,0,0,0,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,200
"S36  9",2363,1874,1841,2,31,30,8,1,2,0,0,0,5,22,0,20,0,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,483
"S4   7",8258,6313,6020,10,283,271,135,8,13,3,11,5,95,136,1,43,3,89,12,2,10,157,51,29,12,14,3,77,10,12,4,25,26,314,78,9,15,54,13,3,0,1,9,205,12,11,38,144,0,0,18,12,6,0,0,0,25,8,2,6,0,2,15,15,0,0,0,0,0,0,0,1449
"S4   8",9510,7259,6693,18,548,539,117,19,8,4,15,6,65,422,10,91,1,320,9,3,6,149,21,60,11,39,10,68,6,0,5,30,27,387,103,12,11,80,12,11,0,1,0,254,2,1,46,199,6,0,17,8,7,1,1,1,74,51,5,46,5,4,14,11,3,0,0,0,0,0,0,1641
"S40  1",10558,8769,8604,31,134,124,69,2,7,42,2,3,13,55,2,29,7,17,10,5,5,26,5,10,6,3,1,11,2,0,4,3,2,67,2,1,0,1,7,7,0,0,0,38,0,1,21,15,0,1,20,5,3,0,12,0,18,14,2,12,0,1,3,2,1,5,5,5,0,0,0,1673
"S40  2",9847,6617,6497,31,89,80,38,7,7,13,4,2,5,42,6,28,0,8,9,5,4,25,2,8,5,3,0,15,1,0,3,3,8,47,0,0,0,0,9,8,0,1,0,27,0,1,24,2,0,0,11,3,1,0,7,0,9,6,2,4,1,0,2,1,1,2,2,2,0,0,1,3146
"S40  3",7863,6450,6375,24,51,47,36,7,5,16,0,2,6,11,0,3,2,6,4,2,2,11,2,1,0,1,0,8,0,0,4,0,4,17,1,1,0,0,1,0,0,1,0,9,0,0,7,2,0,0,6,1,2,0,3,0,11,6,1,5,0,3,2,0,2,1,1,1,0,0,0,1373
"S40  4",9848,7417,7283,33,101,96,75,5,5,46,2,1,16,21,2,13,2,4,5,1,4,31,0,17,8,8,1,14,2,0,2,7,3,43,0,0,0,0,3,1,1,1,0,25,0,1,22,2,0,0,15,7,5,0,3,0,13,9,2,7,0,1,3,0,3,3,3,2,1,0,0,2341
"S41  0",14139,11103,10953,39,111,109,48,4,7,16,3,9,9,61,2,40,2,17,2,0,2,31,3,14,5,8,1,14,1,0,4,5,4,123,3,1,0,2,10,6,0,1,3,80,0,1,61,15,3,0,30,10,13,0,7,0,21,15,2,13,0,1,5,3,2,10,10,6,4,0,0,2851
"S41  7",8843,6883,6707,34,142,139,77,8,9,40,3,6,11,62,2,36,2,22,3,1,2,19,4,4,2,2,0,11,0,0,5,4,2,47,1,0,0,1,13,12,1,0,0,24,0,4,17,3,0,0,9,1,0,0,8,0,10,10,3,7,0,0,0,0,0,1,1,1,0,0,1,1882
"S41  8",12679,9423,9112,37,274,268,67,7,11,23,10,3,13,201,27,132,2,40,6,3,3,35,2,14,4,8,2,19,1,0,8,4,6,77,0,0,0,0,10,10,0,0,0,59,0,13,30,12,1,3,8,2,4,0,2,0,27,14,5,9,2,2,9,6,3,4,4,3,1,0,0,3113
"S41  9",8666,6632,6541,9,82,78,23,2,6,8,1,1,5,55,10,36,1,8,4,2,2,15,0,10,7,3,0,5,0,0,3,0,2,24,2,2,0,0,1,1,0,0,0,9,0,0,3,5,1,0,12,0,6,1,5,0,15,4,1,3,0,9,2,2,0,1,1,0,1,0,0,1979
"S42  5",10427,7022,6962,16,44,44,13,0,5,3,1,1,3,31,0,26,3,2,0,0,0,17,0,4,2,1,1,13,3,0,5,3,2,35,0,0,0,0,5,4,1,0,0,17,0,0,11,3,3,0,12,0,7,0,5,1,6,5,2,3,0,1,0,0,0,1,1,1,0,0,0,3346
"S42  6",8546,6638,6581,26,31,29,17,3,1,5,1,0,7,12,1,6,1,4,2,1,1,7,1,4,0,3,1,2,0,0,2,0,0,10,1,1,0,0,2,1,0,1,0,2,0,0,2,0,0,0,5,0,2,0,3,0,3,2,1,1,0,1,0,0,0,2,2,0,2,0,0,1886
"S42  7",3697,3003,2972,5,26,26,18,2,2,5,0,5,4,8,0,3,2,3,0,0,0,9,1,0,0,0,0,8,2,0,3,3,0,10,1,1,0,0,1,1,0,0,0,4,0,0,4,0,0,0,4,0,1,0,3,0,3,3,2,1,0,0,0,0,0,1,1,1,0,0,1,670
"S43  1",6146,4012,3973,9,30,26,19,3,6,8,0,1,1,7,3,4,0,0,4,1,3,12,1,2,0,2,0,9,2,0,2,4,1,27,2,2,0,0,2,2,0,0,0,18,2,2,10,4,0,0,5,2,0,0,3,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2092
"S43  2",5129,3490,3457,7,26,21,10,2,1,4,0,0,3,11,1,6,0,4,5,3,2,2,0,0,0,0,0,2,2,0,0,0,0,15,0,0,0,0,1,1,0,0,0,12,0,1,9,2,0,0,2,0,1,0,1,0,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1619
"S43  3",12105,7960,7884,15,61,58,28,4,1,11,3,1,8,30,3,19,1,7,3,1,2,51,0,13,5,5,3,38,11,0,4,5,18,7,0,0,0,0,2,1,0,0,1,4,0,0,2,1,1,0,1,0,1,0,0,0,10,7,1,6,0,3,0,0,0,1,1,1,0,0,0,4076
"S43  4",9260,6930,6836,14,80,76,27,1,9,9,0,1,7,49,3,39,0,7,4,2,2,23,1,3,0,2,1,19,4,0,11,1,3,23,0,0,0,0,2,0,2,0,0,14,0,0,10,1,3,0,7,3,3,0,1,0,3,3,3,0,0,0,0,0,0,4,4,3,1,0,0,2277
"S44  5",7356,5175,5082,14,79,77,24,1,4,5,0,3,11,53,5,18,1,29,2,2,0,34,3,19,15,3,1,12,0,0,1,10,1,12,0,0,0,0,1,0,0,0,1,6,0,0,5,0,1,0,4,0,3,0,1,1,5,5,1,4,0,0,0,0,0,2,2,1,1,0,0,2128
"S44  6",11051,7547,7461,9,77,75,42,3,5,28,1,0,5,33,1,18,5,9,2,1,1,4,0,1,0,1,0,3,0,0,1,1,1,16,0,0,0,0,1,1,0,0,0,11,0,0,7,0,2,2,4,0,2,0,2,0,12,9,3,6,0,2,1,1,0,2,2,2,0,0,0,3470
"S45  0",1417,1135,1124,1,10,9,6,0,4,1,0,1,0,3,0,1,1,1,1,0,1,4,0,0,0,0,0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,274
"S45  8",2806,2013,1998,5,10,10,4,0,0,1,0,0,3,6,0,3,1,2,0,0,0,3,0,1,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,787
"S45  9",8902,6127,6057,12,58,54,25,1,6,4,7,1,6,29,1,17,2,9,4,2,2,17,1,3,0,2,1,13,2,0,9,1,1,44,3,3,0,0,3,2,1,0,0,33,0,1,24,6,0,2,5,2,2,0,1,0,11,8,0,8,0,1,2,1,1,1,1,0,1,0,0,2702
"S5   0",9156,5629,5499,36,94,89,48,7,5,3,16,4,13,41,1,30,1,9,5,2,3,125,5,47,19,27,1,73,11,0,2,47,13,103,16,10,0,6,14,12,0,2,0,52,6,4,17,21,4,0,18,3,9,3,3,3,25,16,1,15,0,3,6,5,1,2,2,1,1,0,0,3272
"S5   6",11192,7762,7384,14,364,338,123,12,12,12,8,5,74,215,3,54,3,155,26,9,17,211,71,60,18,37,5,80,9,1,2,34,34,396,57,6,17,34,20,11,1,5,3,281,10,0,82,186,3,0,38,31,4,0,3,0,23,5,0,5,0,5,13,13,0,4,3,2,1,1,0,2796
"S5   7",10951,7048,6890,29,129,119,51,7,4,1,10,1,28,68,20,26,1,21,10,1,9,105,6,31,12,15,4,68,12,2,6,35,13,180,14,1,2,11,18,5,5,4,4,132,4,2,73,53,0,0,14,2,10,0,2,2,14,8,1,7,0,3,3,2,1,5,5,4,1,0,0,3599
"S5   8",10747,6455,6316,18,121,106,57,3,4,2,4,2,42,49,7,20,1,21,15,10,5,63,1,20,4,10,6,42,4,0,3,22,13,95,16,3,1,12,21,14,0,4,3,45,2,1,13,23,6,0,12,2,3,0,7,1,15,11,2,9,0,1,3,2,1,5,5,5,0,0,0,4114
"S5   9",7166,4491,4451,12,28,26,8,0,2,5,0,0,1,18,4,13,1,0,2,1,1,25,0,13,1,11,1,12,1,0,0,10,1,20,6,0,0,6,5,3,2,0,0,7,0,0,7,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,2626
"S6   1",9569,7148,6988,22,138,134,60,6,4,5,2,2,41,74,2,42,5,25,4,3,1,55,8,17,1,8,8,30,1,0,9,12,8,102,27,13,2,12,15,10,1,4,0,51,1,0,28,10,11,1,9,1,5,0,3,0,8,6,0,6,0,0,2,2,0,2,2,2,0,0,0,2254
"S6   2",11018,8809,8645,28,136,123,50,6,10,10,1,3,20,73,1,48,4,20,13,9,4,48,8,18,3,12,3,22,1,0,2,10,9,112,19,6,1,12,45,31,0,5,9,44,0,0,30,12,2,0,4,1,2,0,1,0,36,17,7,10,5,3,11,7,4,5,5,1,4,0,0,2008
"S6   3",7589,5738,5512,29,197,187,87,19,9,8,7,3,41,100,11,55,7,27,10,3,7,122,74,19,1,16,2,29,0,0,4,17,8,312,140,14,10,116,79,69,1,0,9,61,3,5,36,17,0,0,32,19,6,2,5,0,52,24,5,19,19,7,2,2,0,9,9,6,3,0,0,1356
"S6   4",9086,6761,6669,17,75,70,36,9,3,6,3,6,9,34,1,18,2,13,5,0,5,28,19,2,1,1,0,7,1,0,0,6,0,26,3,0,1,2,2,1,0,1,0,18,0,1,10,4,1,2,3,1,1,0,1,0,29,20,3,17,3,3,3,3,0,0,0,0,0,0,0,2242
"S6   5",6477,4749,4687,14,48,45,33,4,8,4,5,1,11,12,1,9,0,2,3,1,2,13,3,4,2,2,0,6,0,0,0,0,6,30,7,6,1,0,4,2,0,1,1,14,0,2,2,7,3,0,5,2,1,0,2,0,10,4,1,3,4,1,1,1,0,3,3,3,0,0,0,1672
"S6   6",6017,4871,4834,16,21,21,11,1,4,0,0,0,6,10,0,5,0,5,0,0,0,3,0,1,0,1,0,2,0,0,0,2,0,14,6,1,0,5,1,0,0,1,0,5,0,0,3,2,0,0,2,1,1,0,0,0,8,7,1,6,0,0,1,1,0,2,2,1,1,0,0,1119
"S60  1",3468,2798,2739,5,54,52,14,0,6,3,0,1,4,38,7,16,0,15,2,0,2,21,1,9,2,0,7,11,1,0,5,5,0,100,6,1,1,4,0,0,0,0,0,91,15,3,4,68,1,0,3,0,1,0,2,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,547
"S60  2",15342,12740,12280,44,416,411,70,7,4,8,4,4,43,341,34,63,4,240,5,2,3,88,24,18,3,8,7,46,6,0,7,26,7,213,15,9,4,2,6,5,0,1,0,171,5,0,37,127,2,0,21,2,5,0,14,0,20,15,2,13,2,2,1,1,0,5,5,3,2,0,0,2276
"S60  3",10274,8816,8662,35,119,117,49,11,16,5,1,4,12,68,8,16,0,44,2,0,2,66,12,21,4,13,4,33,8,0,4,17,4,179,27,3,11,13,3,3,0,0,0,128,4,1,73,46,4,0,21,9,5,2,5,0,13,10,1,9,0,0,3,1,2,1,1,1,0,0,0,1199
"S60  4",4523,3603,3566,6,31,28,8,0,1,1,0,1,5,20,3,11,0,6,3,0,3,4,3,0,0,0,0,1,0,0,0,1,0,11,0,0,0,0,2,2,0,0,0,9,0,0,5,4,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,1,1,1,0,0,0,902
"S60  5",13920,10821,10659,22,140,134,43,5,5,11,3,5,14,91,11,42,3,35,6,3,3,36,1,4,1,2,1,31,2,0,5,22,2,71,3,2,0,1,13,11,1,1,0,50,1,0,18,30,1,0,5,1,0,1,3,0,17,3,0,3,6,4,4,2,2,2,2,0,2,0,0,2973
"S61  1",7860,5836,5573,13,250,244,47,1,15,14,0,0,17,197,13,61,2,121,6,1,5,54,4,9,3,4,2,41,2,0,6,29,4,127,8,1,3,4,5,4,1,0,0,106,13,1,10,77,5,0,8,1,3,0,4,0,2,2,0,2,0,0,0,0,0,1,1,0,1,0,0,1840
"S61  2",9689,7337,7123,18,196,192,26,5,2,7,0,1,11,166,27,64,0,75,4,3,1,38,1,8,4,0,4,29,6,0,5,12,6,68,2,0,2,0,9,4,0,5,0,51,6,0,15,30,0,0,6,1,2,0,3,0,6,5,1,4,0,0,1,1,0,4,4,3,1,0,0,2236
"S61  3",5558,3418,3376,12,30,26,5,2,0,0,1,1,1,21,9,7,0,5,4,2,2,21,0,1,0,1,0,20,0,0,1,19,0,8,0,0,0,0,1,1,0,0,0,3,0,0,1,2,0,0,4,0,0,0,4,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,2109
